"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"23-Mar",0,0,8.16904258728027,0,0,0.536080956459045,2.56148314476013,0.815699994564056,0,0,3.17909407615662,7.24230909347534,0,0,0,0,0,0,9.23134517669678,0,5.67541360855103,0,0,3.88930702209473,0,4.79636335372925,0,17.732349395752,3.76140689849854,0,0,15.2844018936157,0.966796875,
"24-Mar",1.48257899284363,0,7.8135085105896,0,4.79992389678955,0,1.73119461536407,10.2937536239624,0,0,1.5090217590332,7.82850646972656,0,0,10.0975923538208,0,0,0,0,0.300786048173904,14.1471881866455,0,0,7.10987281799316,0,0,0,4.39926767349243,1.67245268821716,0,2.53705906867981,16.1641731262207,9.22356033325195,
"25-Mar",0,0,0,0,0,0,15.8586692810059,0,5.96828031539917,1.3212890625,0,0,0,11.7602910995483,3.76975989341736,12.1296052932739,4.71657848358154,0,7.8826379776001,0,0.322265625,0,1.67509269714355,19.0542430877686,0,5.08786010742188,0,2.47998571395874,0,0,2.08338308334351,5.23585367202759,3.91060161590576,
"26-Mar",3.71113801002502,0,5.91613817214966,0,0,6.71655750274658,5.47060108184814,0,2.94803476333618,0,0,4.57487201690674,1.07399380207062,19.7148246765137,16.2272872924805,1.36532640457153,8.05941963195801,0,19.6835861206055,0,9.25863170623779,0,0,3.30322265625,0,4.40393924713135,0,5.93634414672852,0,0,0.296152412891388,1.60603129863739,0,
"27-Mar",6.84528541564941,6.73806571960449,-999,0,1.31709325313568,0,0.454631507396698,0,2.94304132461548,0,-999,14.4629821777344,0,22.4848899841309,0.598303198814392,0,0,0,1.33332490921021,10.0197458267212,1.6665985584259,20.7524738311768,0,0,0,6.9613676071167,0,0,0.209306597709656,0,14.7083187103271,0,0,
"28-Mar",6.87960624694824,0,38.0148124694824,0,0,0,17.5887622833252,1.92275762557983,0,0,0,13.8672800064087,0,3.42744827270508,4.43678951263428,0,2.4152946472168,0,0,0,13.1019115447998,0,0.64453125,0,0.281989336013794,5.55361557006836,0,17.7420253753662,10.9572868347168,0,22.8030834197998,0,12.9889354705811,
"29-Mar",3.89810633659363,0,7.64865112304688,0,0,-999,0.408950954675674,3.96107006072998,20.0704288482666,0,0,0,0,1.55384731292725,14.3791694641113,0,0.442827194929123,0,0,0,2.65323257446289,1.55196404457092,0.2037752866745,0,3.11895966529846,17.7335948944092,3.16720175743103,7.36713838577271,6.35868358612061,0,8.77300834655762,0,16.9921894073486,
"30-Mar",-999,0,-999,9.10321712493896,0,0,9.63615322113037,4.80020952224731,51.1354446411133,11.6067762374878,0,0,0,7.35843372344971,30.2931270599365,0,0,0,5.33274745941162,0,16.17014503479,9.45900630950928,0,35.9762535095215,0,0,7.97473812103271,0,8.36970710754395,0,18.2836532592773,0,0,
"31-Mar",0,0,-999,9.82593822479248,34.7851219177246,0,3.30322265625,3.54316973686218,1.85208630561829,10.0450267791748,1.25371968746185,0,0,8.10802173614502,58.8365364074707,0,6.23886632919312,2.19363880157471,6.8036322593689,0,4.23632717132568,3.48556733131409,0,3.84067606925964,0,5.02637004852295,20.1826324462891,9.78579902648926,0.839126348495483,5.03728485107422,15.0768899917603,0.817442059516907,13.5146074295044,
"1-Apr",7.06303787231445,0,43.0679779052734,0,0.653220117092133,0,0,2.81543374061584,6.13634586334229,0,0,-999,0,19.5443878173828,0,0,0,1.86038303375244,0,0,0,0,0,5.24683666229248,0,0.713382840156555,11.3966388702393,5.04704284667969,0,0,2.04992914199829,10.9231395721436,0,
