Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
07-May,17.2,31.8,3.3,15.3,2.9,19,19.9,15.4,16.5,3,8.4,0,28.7,3,0.7,2.2,0,33,0,0,0,0,0,0,22.3,3.4,0,0,27.8,0,1.2,26.8,14.2,1,0.8
08-May,4,7.5,8,12.9,4.8,6.1,17.7,0,0,4.3,14.1,2,9.4,0.4,6,0,0,7.6,0,2.1,0,0,0,16.3,0,2.1,0,0,0,7.7,17.6,6.6,21.8,23.8,4
09-May,3.8,13.4,26.3,2.9,0,14.7,8.2,7.1,0,7.6,0,0.4,0,0,0,24.5,0,4,0,6,4.8,3.1,5.1,4.2,0,0,0,33.4,0,21.3,0.2,4.4,4.6,12.4,11.6
10-May,0.7,16,10.7,14,1.8,0,13.4,0,0.6,0,0.4,2.9,0,0,15,0,0,5.2,0,37,3.7,9.4,26.2,0,0,0,11.5,9.2,0,9.1,0.2,13.4,9.8,10,3.4
11-May,9.5,5.2,0,3.1,11.9,15.3,0,0,1.4,0,0.9,23.8,15,0,14,0.8,16,40,11.1,0,7.5,10.3,8.7,3.1,0,0,17.1,14.1,10.1,0.7,1.2,0,18,11,8.6
12-May,8.5,0,1.5,6.1,0,6.1,31.3,36.8,1,21.7,10,9.8,8.5,0,15,24,0,0,0,0,4.4,0,14.5,0,0,0,3.1,31.1,33.7,0,0,6,0,17.4,0
13-May,6.1,0,0,8.5,0,25.8,6.2,24.9,16,0.5,0,38.4,15.6,0,1,0,0,0,0,0,22.1,0,1.9,0,7.8,3.1,0,0,9.6,0,0,4.8,0,6.8,13.2
14-May,6.7,9.5,19.1,0.2,0,12.7,8.1,1.5,1.3,7.9,14.2,16.5,0,3.7,12.2,1,10.5,2.5,0,0,0,0,0.5,0,10.7,6.5,0,0,11.1,0,0,31,0,9.6,10
15-May,66.5,12.1,20.5,30.1,2.2,13.3,2.8,0.7,4,0,7.8,0.4,3.6,3.7,0.6,0,1.5,6.4,0,5.4,28.4,0,0,0,9.3,3.1,0,0,12.7,0,2.2,3.6,0,0.8,0.4
16-May,1.1,0.5,16,1,1.8,31.4,12.6,11,1.6,0,0,3.6,14.4,20,0,4.5,0,4.3,0,0,0,0,0,0,0,2.8,20.1,0,0,8.7,0,31.8,0,0,3.2
