"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"29-Mar",0,0,36.2621841430664,0,0,-999,0,2.02476787567139,4.61734914779663,0,0,0.593339323997498,3.8996946811676,24.4101505279541,2.01151919364929,0,0,0,0,0,8.75945854187012,0,0,23.4230861663818,17.7504444122314,39.1056632995605,6.97144174575806,2.02850103378296,0.847726583480835,0,0.976364016532898,0,3.97579050064087,
"30-Mar",-999,0,-999,3.900710105896,0,0,0,1.23098874092102,1.0827225446701,0,0,0,6.82140350341797,0,52.0184860229492,0,8.80964851379395,0,3.62468695640564,0,1.00809407234192,0,0,13.7152156829834,1.05296528339386,0,1.08064866065979,0,1.99059927463531,0,12.3718109130859,0,0,
"31-Mar",0.393143385648727,0,-999,2.15508055686951,0,0,1.96038711071014,23.6161766052246,2.93026947975159,11.6752443313599,0,0,0,0,0.201550081372261,0,1.99990451335907,0,8.28962802886963,6.81555366516113,2.94613099098206,0.474439322948456,0,0,0.883212804794312,0,0,6.73330020904541,0,0,0.577203094959259,0,0,
"1-Apr",0,0,34.2158164978027,0,0,0,1.98515832424164,2.28674030303955,0,0,0.509690046310425,-999,0,30.3029232025146,0,0,0,0,14.7071161270142,5.42249393463135,0,1.9811075925827,0,3.90336275100708,0,0,1.9580751657486,4.98015785217285,0,0,28.6069221496582,0,0,
"2-Apr",0,0,3.93565821647644,0,0,58.4225006103516,1.08125352859497,2.28439784049988,2.95112466812134,0,0,0,0,105.241027832031,0,4.87744760513306,0,0,0,0,0,7.88495826721191,0,0,0,0,0,76.7582473754883,0,8.78654003143311,3.07845163345337,0,30.2729606628418,
"3-Apr",0,29.2533740997314,3.90452075004578,0.687445998191833,0,24.3138561248779,6.05302906036377,-999,29.5101680755615,31.4756774902344,0,0.588187754154205,0,0,20.4322509765625,27.3921604156494,4.15479755401611,0,0,8.75615978240967,0.509233117103577,18.7920398712158,0,22.7109680175781,0,0,0,3.28037214279175,12.7084255218506,0.328501343727112,0,0,25.5868301391602,
"4-Apr",0,0.682278573513031,-999,1.27452158927917,0,2.28281188011169,8.02124118804932,1.01848971843719,21.6146755218506,0,0,12.6647691726685,0,0,0.425317883491516,0,0.699903786182404,0,40.8457679748535,0,0,0,7.81015920639038,2.8385443687439,0,0,0,0,0,1.58812689781189,0,1.97439670562744,6.08069133758545,
"5-Apr",0,0.496891260147095,0,1.012824177742,0,1.96962416172028,-999,8.25121784210205,0.728297114372253,0,0,0,6.81690645217896,1.05688202381134,18.7403697967529,0,0,23.5981750488281,19.5565490722656,0,0,3.8690881729126,7.82142877578735,5.98551368713379,3.10709428787231,0,0.658401250839233,0.303972721099854,0,6.84806871414185,6.91810655593872,2.94310736656189,16.8210124969482,
"6-Apr",0,0.489171653985977,4.01025867462158,7.09034395217896,52.8909530639648,2.01279306411743,-999,19.5933799743652,0.201333284378052,9.9840145111084,0,16.5539665222168,-999,46.7440605163574,6.04442644119263,7.84862279891968,2.90300679206848,0,24.3573188781738,18.5254459381104,0,0,1.09602355957031,15.8199481964111,0,0,20.6407661437988,1.95993304252625,0,4.90577030181885,13.0070114135742,0,0.984551191329956,
"7-Apr",0,0,24.5063552856445,-999,44.4128913879395,2.55540251731873,35.2249526977539,2.04358863830566,3.93330144882202,0.34286904335022,12.7962551116943,88.1737747192383,1.08391785621643,4.11576128005981,1.40169775485992,0,0,20.1265525817871,10.2514047622681,2.91872000694275,0,8.71070766448975,0,29.1714096069336,0,0.390301376581192,0,11.8450946807861,1.95173990726471,0.975850760936737,7.14307022094727,8.13701343536377,0.218743145465851,
"8-Apr",-999,0,0,8.81589889526367,1.31712687015533,5.26605939865112,0,1.04346239566803,0,29.4962100982666,0,0,0,5.90842580795288,14.9010667800903,2.25715208053589,13.8509588241577,7.84102725982666,0.715276896953583,1.1178160905838,0,0,4.01696157455444,6.11763191223145,0.220171630382538,0,0,0,0,7.81086158752441,14.9574565887451,0,7.32770919799805,
"9-Apr",0.389934182167053,0,0,0.431426107883453,0,9.86222171783447,30.4101715087891,1.37197625637054,0,25.5177173614502,0.997875273227692,1.0688943862915,13.6290197372437,3.00657320022583,3.1109607219696,22.733470916748,0,6.3329381942749,0.234877333045006,0,0,2.98689961433411,0,17.7183952331543,0,10.7909498214722,0,0,1.9516783952713,0,3.96375370025635,0,0.200639307498932,
"10-Apr",0,0.44528666138649,22.5850048065186,31.8097724914551,10.7173900604248,21.1815605163574,5.90273857116699,48.7976493835449,0,0.306359559297562,0,13.9394817352295,1.14214634895325,0,26.4951934814453,16.5779514312744,0,0,0,0,0,17.058349609375,0,1.97375845909119,11.2743330001831,17.6314086914062,0,0,12.6858615875244,0,0.547272861003876,0.453431785106659,0,
"11-Apr",0,4.93629932403564,0.288554042577744,8.94348239898682,2.92630791664124,0,2.93231630325317,46.9162101745605,3.28188037872314,8.47166061401367,1.94559288024902,7.9209246635437,1.24573600292206,5.87735748291016,20.9132022857666,0.374754369258881,0,0,0,62.4110946655273,0,0.21625392138958,0,0,24.4291553497314,6.84124279022217,1.95036470890045,2.92765665054321,0,9.76576137542725,13.0373153686523,0.988633215427399,0,
"12-Apr",6.8390040397644,0.485431671142578,0,3.93382453918457,3.22946429252625,5.15929365158081,1.02130961418152,8.78866672515869,0,0,1.94559288024902,0,0,12.6746625900269,0,0.206411272287369,0,0,0,60.6295471191406,0,28.7289752960205,0,1.95197105407715,2.27076601982117,0,2.95550131797791,6.85686540603638,0.587130010128021,36.2859764099121,19.4474925994873,20.6071720123291,0,
"13-Apr",0,0,19.8601779937744,0,19.4245986938477,4.15162038803101,0,1.00987982749939,0,0,0,0,44.9984016418457,3.89513182640076,40.625804901123,1.05132114887238,0,0,0,50.6316528320312,0.973165929317474,9.94875812530518,0,0,1.24969446659088,1.05510973930359,0,0.566119194030762,2.03206300735474,16.7567462921143,103.804756164551,14.7660150527954,0,
"14-Apr",0,0,0,18.5648193359375,5.65486335754395,0,0.782869935035706,1.96160137653351,8.05221366882324,0,20.5189743041992,2.11692452430725,0,0,3.93240094184875,0,0,0,1.81800818443298,25.2095050811768,18.6172389984131,0,0,0,0.460964500904083,0,3.11698365211487,0,24.5433235168457,0,4.98445177078247,3.28163576126099,0,
"15-Apr",0.793406903743744,0.386429995298386,0.896690487861633,3.04135632514954,2.84779047966003,0,3.90228247642517,60.8711013793945,0.855972945690155,0,0.574532091617584,2.99653315544128,0,1.01883268356323,0,0,0,0,11.1177711486816,0,10.2734422683716,0,0,0,0,0,0,4.11824369430542,14.7115430831909,10.4842596054077,11.8491191864014,1.57963037490845,0,
"16-Apr",11.9491062164307,0,0.654331803321838,2.42576670646667,0,0.769868135452271,12.8865785598755,0,0.287598580121994,0,-999,19.7542381286621,5.08654022216797,0.999583899974823,3.90785360336304,0,0,0,2.9637176990509,62.0197639465332,10.4637861251831,0,19.4910316467285,1.00192654132843,34.3235931396484,18.3924770355225,0,2.03222036361694,5.16066026687622,0.990135014057159,0,2.32749223709106,72.2938690185547,
"17-Apr",0,0.652320742607117,20.9435615539551,0.893971860408783,0,1.39113438129425,2.94062566757202,0,0,0,34.2408409118652,2.97336959838867,0,0,27.6948909759521,5.84440803527832,0,0,14.7818145751953,30.5323066711426,1.76743900775909,0,0,22.4586544036865,42.5205192565918,0.993333876132965,0,14.0334568023682,0,0,0,7.03026056289673,47.9192085266113,
